dist_cbd,pop_cm,viv_cm,year
1,8359,2813,2000
2,68959,18775,2000
3,98402,26090,2000
4,120029,31072,2000
5,143593,36128,2000
6,127534,32463,2000
7,166366,40516,2000
8,253511,59059,2000
9,249413,58755,2000
10,316826,73868,2000
11,331120,75971,2000
12,247533,57656,2000
13,282913,64947,2000
14,205667,47888,2000
15,204674,48151,2000
16,153639,36421,2000
17,81055,19050,2000
18,78157,18157,2000
19,29242,6847,2000
20,6702,1666,2000
21,6832,1578,2000
22,9495,2125,2000
23,3918,632,2000
24,519,141,2000
25,1921,490,2000
26,2205,560,2000
27,3349,772,2000
28,3602,906,2000
29,4471,1146,2000
30,4473,1153,2000
31,7719,1947,2000
32,28891,7247,2000
33,33625,8479,2000
34,23749,5950,2000
35,10187,2681,2000
36,5550,1480,2000
37,2214,609,2000
38,2244,612,2000
39,2334,639,2000
40,1015,279,2000
41,87,28,2000
42,87,24,2000
43,0,0,2000
44,0,0,2000
45,0,0,2000
46,0,0,2000
47,0,0,2000
48,0,0,2000
49,0,0,2000
50,0,0,2000
1,6592,3690,2010
2,55986,20512,2010
3,78634,29251,2010
4,104771,36025,2010
5,129128,42068,2010
6,106654,34793,2010
7,141896,43471,2010
8,231505,65611,2010
9,225816,65573,2010
10,286019,81016,2010
11,307325,85072,2010
12,279530,79020,2010
13,323413,90337,2010
14,279784,82283,2010
15,320762,96551,2010
16,265862,79881,2010
17,206167,65654,2010
18,157933,51831,2010
19,97876,33073,2010
20,55092,25642,2010
21,44430,19541,2010
22,32096,12983,2010
23,38305,16772,2010
24,12955,5750,2010
25,1984,913,2010
26,2187,788,2010
27,4443,1449,2010
28,2529,1010,2010
29,4996,2520,2010
30,16836,7555,2010
31,46819,20718,2010
32,36210,13135,2010
33,37598,12942,2010
34,34625,13019,2010
35,16911,6900,2010
36,9230,4493,2010
37,3772,1312,2010
38,2812,1082,2010
39,2249,923,2010
40,1462,628,2010
41,110,80,2010
42,110,65,2010
43,0,0,2010
44,0,0,2010
45,0,0,2010
46,0,0,2010
47,0,0,2010
48,0,0,2010
49,0,0,2010
50,0,0,2010
1,6665,3680,2016
2,55329,20462,2016
3,78088,29443,2016
4,104077,36300,2016
5,127786,42034,2016
6,105043,34754,2016
7,140148,43487,2016
8,229524,66126,2016
9,223671,65836,2016
10,283870,81182,2016
11,305575,85674,2016
12,277607,80111,2016
13,322857,92322,2016
14,279666,85277,2016
15,318893,104174,2016
16,266609,86805,2016
17,203600,71717,2016
18,158678,58301,2016
19,109449,42085,2016
20,55424,37768,2016
21,51308,34199,2016
22,46618,36347,2016
23,42745,25603,2016
24,14715,9663,2016
25,6294,6719,2016
26,9971,8190,2016
27,7066,5618,2016
28,7568,5581,2016
29,7083,8723,2016
30,15309,10784,2016
31,46622,23375,2016
32,40902,16347,2016
33,39627,14883,2016
34,33903,13825,2016
35,17593,7786,2016
36,11200,5323,2016
37,4721,2425,2016
38,2942,1196,2016
39,2569,1095,2016
40,1484,631,2016
41,155,121,2016
42,97,70,2016
43,0,0,2016
44,38,62,2016
45,0,0,2016
46,0,0,2016
47,7,19,2016
48,0,0,2016
49,0,0,2016
50,82,34,2016
