dist_cbd,DenCom,DenInd,DenOfic,DenServ,anno
1,6767.520486,1585.709829,3936.418798,680.9542911,2010
2,2701.509705,1237.113183,2095.102479,898.9469842,2010
3,1660.480662,966.9902913,1235.269776,513.1306701,2010
4,1435.731804,951.9111289,796.7031688,345.7856501,2010
5,1443.099552,837.7446662,677.4045275,321.7527866,2010
6,1305.544646,703.8131179,623.3841635,305.6641792,2010
7,865.8639975,522.8746768,362.282688,222.7982709,2010
8,858.2369046,439.6761029,237.0144126,278.2764232,2010
9,688.0492434,433.0898029,206.3725235,263.7668348,2010
10,630.3928441,400.3188408,141.6174035,243.7829153,2010
11,752.5658195,391.156415,198.0245077,222.0122287,2010
12,616.9725996,363.8621609,90.1384651,168.9014661,2010
13,534.9423115,317.0240583,142.0739214,157.1521276,2010
14,432.6516548,416.8055187,112.6005119,145.0408848,2010
15,375.7119968,230.5024034,80.76287466,87.01250765,2010
16,321.2895488,239.1072354,43.86580073,90.25215721,2010
17,271.3167896,271.2273642,46.32237872,111.8265146,2010
18,192.8461376,216.61106,44.16019154,84.5738608,2010
19,92.43002452,158.7624036,17.6195382,29.58009531,2010
20,71.08465169,147.0078983,6.854676122,25.6398093,2010
21,67.8801787,185.3498101,5.708751431,30.53187954,2010
22,84.09823793,152.903239,5.418175357,27.09087678,2010
23,88.64122729,44.32061365,40.44351022,65.37860675,2010
24,54.29271068,112.7903238,22.50859532,18.11818249,2010
25,9.086551189,31.98179828,1.430952943,3.362739416,2010
26,15.50842088,95.13092322,1.040198962,31.48965948,2010
27,47.24854131,114.9062158,0.838731502,15.93589855,2010
28,93.99291293,262.5087783,86.07065313,17.85865346,2010
29,94.92098822,59.79453869,7.161703303,22.05349906,2010
30,92.01501298,60.22035174,8.948828493,39.26956503,2010
31,158.0977301,77.13742014,8.070545059,35.51039826,2010
32,262.967708,180.5952498,68.08252029,78.18402812,2010
33,356.4009971,146.9225361,34.59350633,92.51565895,2010
34,210.6648469,85.88418795,13.35542991,95.53519205,2010
35,205.6406337,54.78014091,27.10326343,119.8853346,2010
36,74.60224978,22.8122582,8.169254625,44.0831476,2010
37,114.091079,137.352367,4.153801421,98.30663362,2010
38,156.068011,161.8483077,14.16172692,180.9232868,2010
39,35.39175006,64.68147425,0,19.83158409,2010
40,89.66034141,23.81602819,4.202828504,296.9998809,2010
1,6542.764184,972.5644503,3958.385065,840.1301422,2015
2,2317.292633,1008.980981,1950.583382,747.7430828,2015
3,1533.152952,836.3520611,1495.654942,569.9824924,2015
4,1262.420127,738.7619664,894.8076306,461.6680551,2015
5,1432.757498,767.9166507,819.0523614,412.0733903,2015
6,1204.965762,514.8136132,643.4999402,286.0265364,2015
7,785.3412274,593.105325,474.9029226,254.9306241,2015
8,895.624548,390.1810621,282.2799359,295.2267796,2015
9,727.4387707,381.9029172,198.2801206,297.1439343,2015
10,651.8866813,437.661669,139.942559,314.684664,2015
11,736.0148511,293.052787,187.0091673,260.9852859,2015
12,685.3271782,339.5843248,144.191006,204.7838026,2015
13,535.9204863,331.0525161,143.69626,205.3928445,2015
14,481.7089344,445.0293233,115.8196125,194.9369442,2015
15,430.3019118,278.6539381,98.4631775,135.9400035,2015
16,380.8478418,328.830889,72.20172577,115.7422935,2015
17,283.188017,365.4594232,62.12832551,155.95797,2015
18,266.823326,235.9865657,64.20076039,114.6790516,2015
19,118.983705,268.7290509,20.2521045,46.59849633,2015
20,97.6969237,184.3409786,12.61829653,43.09670074,2015
