Municipio,Year,Egresos,Monto_egresos,prop_egr
San Pedro,1990,Gasto corriente,35088204,310.4052017
San Pedro,1990,Inversión,22028916,194.8771762
San Pedro,1990,Deuda,1500000,13.26963907
San Pedro,1990,Otros,11896465,105.2411978
Guadalupe,1990,Gasto corriente,39138978,73.08047278
Guadalupe,1990,Inversión,11096110,20.71870565
Guadalupe,1990,Deuda,1271595,2.374327806
Guadalupe,1990,Otros,2206821,4.120585929
Monterrey,1990,Gasto corriente,107139244,100.201493
Monterrey,1990,Inversión,51570354,48.23094016
Monterrey,1990,Deuda,937910,0.877176082
Monterrey,1990,Otros,3662317,3.425165398
San Nicolás,1990,Gasto corriente,34645992,79.35353628
San Nicolás,1990,Inversión,10859561,24.87285016
San Nicolás,1990,Deuda,9006,0.020627435
San Nicolás,1990,Otros,7199902,16.49072956
San Pedro,2000,Gasto corriente,278505911,2210.750377
San Pedro,2000,Inversión,95842527,760.7878122
San Pedro,2000,Deuda,7442997,59.08172062
San Pedro,2000,Otros,148163833,1176.108789
Guadalupe,2000,Gasto corriente,379575666,566.3938958
Guadalupe,2000,Inversión,161828891,241.4772712
Guadalupe,2000,Deuda,25403653,37.90673449
Guadalupe,2000,Otros,50510656,75.37081482
Monterrey,2000,Gasto corriente,1016050000,914.5389231
Monterrey,2000,Inversión,509612000,458.6979083
Monterrey,2000,Deuda,54719000,49.2521582
Monterrey,2000,Otros,132242000,119.0300244
San Nicolás,2000,Gasto corriente,327189000,658.4896091
San Nicolás,2000,Inversión,73027000,146.9716912
San Nicolás,2000,Deuda,21945000,44.16577107
San Nicolás,2000,Otros,122261000,246.0583886
San Pedro,2010,Gasto corriente,728886058,5942.377306
San Pedro,2010,Inversión,151121470,1232.045508
San Pedro,2010,Deuda,39110105,318.852306
San Pedro,2010,Otros,90905186,741.1212059
Guadalupe,2010,Gasto corriente,1002784222,1479.019687
Guadalupe,2010,Inversión,318032052,469.0696719
Guadalupe,2010,Deuda,47642374,70.26836636
Guadalupe,2010,Otros,98945199,145.9355802
Monterrey,2010,Gasto corriente,2440607339,2149.273338
Monterrey,2010,Inversión,964623598,849.4769918
Monterrey,2010,Deuda,203673105,179.3607547
Monterrey,2010,Otros,106440540,93.73478931
San Nicolás,2010,Gasto corriente,738592670,1666.225261
San Nicolás,2010,Inversión,423598120,955.614531
San Nicolás,2010,Deuda,315574239,711.9184769
San Nicolás,2010,Otros,149576463,337.4364398
San Pedro,2015,Gasto corriente,1250072356,10150.31631
San Pedro,2015,Inversión,377203378,3062.809591
San Pedro,2015,Deuda,198056729,1608.177669
San Pedro,2015,Otros,369707236,3001.942544
Guadalupe,2015,Gasto corriente,1284314192,1880.731888
Guadalupe,2015,Inversión,394856660,578.222616
Guadalupe,2015,Deuda,65118835,95.35911873
Guadalupe,2015,Otros,68530591,100.3552469
Monterrey,2015,Gasto corriente,3233613770,2915.342873
Monterrey,2015,Inversión,1222622020,1102.284517
Monterrey,2015,Deuda,359671607,324.2706553
Monterrey,2015,Otros,42358077,38.18895103
San Nicolás,2015,Gasto corriente,812809136,1889.625394
San Nicolás,2015,Inversión,329127000,765.1571687
San Nicolás,2015,Deuda,135267936,314.4720151
San Nicolás,2015,Otros,501050557,1164.846474
San Pedro,2018,Gasto corriente,1720563309,12697.04085
San Pedro,2018,Inversión,868213978,6407.057671
San Pedro,2018,Deuda,242750184,1791.395287
San Pedro,2018,Otros,219374736,1618.894214
Guadalupe,2018,Gasto corriente,1708814225,2431.395914
Guadalupe,2018,Inversión,654962333,931.9168327
Guadalupe,2018,Deuda,118481063,168.5814457
Guadalupe,2018,Otros,51556870,73.35798194
Monterrey,2018,Gasto corriente,3884712179,3509.805306
Monterrey,2018,Inversión,1757442917,1587.835132
Monterrey,2018,Deuda,252803376,228.4057581
Monterrey,2018,Otros,493423848,445.8043633
San Nicolás,2018,Gasto corriente,1136730994,2401.52575
San Nicolás,2018,Inversión,500710289,1057.830444
San Nicolás,2018,Deuda,125902286,265.9886846
San Nicolás,2018,Otros,436830459,922.8741024
