Municipio,Year,Egresos,Monto_egresos,Pob,prop_egr
Abasolo,1990,Gasto corriente,389925,1373,283.9949017
Abasolo,1990,Inversión,61029,1373,44.44938092
Abasolo,1990,Deuda,21442,1373,15.61689731
Abasolo,1990,Otros,19018,1373,13.85142025
Apodaca,1990,Gasto corriente,5704863,115913,49.21676602
Apodaca,1990,Inversión,9145609,115913,78.90063237
Apodaca,1990,Deuda,189252,115913,1.632707289
Apodaca,1990,Otros,2004926,115913,17.29681744
Cadereyta,1990,Gasto corriente,3293069,53582,61.45849352
Cadereyta,1990,Inversión,725035,53582,13.53131649
Cadereyta,1990,Deuda,201475,53582,3.760124669
Cadereyta,1990,Otros,386315,53582,7.209790601
El Carmen,1990,Gasto corriente,791404,4906,161.3134937
El Carmen,1990,Inversión,181857,4906,37.06828373
El Carmen,1990,Deuda,4259,4906,0.868120669
El Carmen,1990,Otros,175455,4906,35.763351
Ciénaga de Flores,1990,Gasto corriente,1267093,6708,188.8928145
Ciénaga de Flores,1990,Inversión,302004,6708,45.02146691
Ciénaga de Flores,1990,Deuda,558,6708,0.083184258
Ciénaga de Flores,1990,Otros,164320,6708,24.49612403
García,1990,Gasto corriente,2471460,13164,187.7438469
García,1990,Inversión,1418898,13164,107.7862352
García,1990,Deuda,249481,13164,18.95176238
García,1990,Otros,229980,13164,17.47037375
General Escobedo,1990,Gasto corriente,3626487,98147,36.94954507
General Escobedo,1990,Inversión,1740300,98147,17.73156592
General Escobedo,1990,Deuda,968431,98147,9.867148257
General Escobedo,1990,Otros,346708,98147,3.532537928
General Zuazua,1990,Gasto corriente,637501,4647,137.185496
General Zuazua,1990,Inversión,657007,4647,141.3830428
General Zuazua,1990,Deuda,110,4647,0.023671186
General Zuazua,1990,Otros,91509,4647,19.69205939
Juárez,1990,Gasto corriente,1607322,28014,57.37566931
Juárez,1990,Inversión,633543,28014,22.6152281
Juárez,1990,Deuda,130572,28014,4.660955237
Juárez,1990,Otros,158435,28014,5.655565075
Pesquería,1990,Gasto corriente,1092401,8188,133.4148754
Pesquería,1990,Inversión,564536,8188,68.94675134
Pesquería,1990,Deuda,61928,8188,7.563263312
Pesquería,1990,Otros,153841,8188,18.78859306
Salinas Victoria,1990,Gasto corriente,1132395,9518,118.9740492
Salinas Victoria,1990,Inversión,639548,9518,67.19352805
Salinas Victoria,1990,Deuda,241,9518,0.025320445
Salinas Victoria,1990,Otros,141573,9518,14.87423829
Santa Catarina,1990,Gasto corriente,11722548,163848,71.54526146
Santa Catarina,1990,Inversión,2999575,163848,18.30705898
Santa Catarina,1990,Deuda,1503450,163848,9.175882525
Santa Catarina,1990,Otros,576092,163848,3.516014843
Santiago,1990,Gasto corriente,2904156,30182,96.2214565
Santiago,1990,Inversión,2695648,30182,89.31310052
Santiago,1990,Deuda,993110,30182,32.90404877
Santiago,1990,Otros,529373,30182,17.53936121
Abasolo,2000,Gasto corriente,6006085,2514,2389.05529
Abasolo,2000,Inversión,598380,2514,238.0190931
Abasolo,2000,Deuda,5662,2514,2.252187749
Abasolo,2000,Otros,201581,2514,80.18337311
Apodaca,2000,Gasto corriente,126207647,283497,445.1815963
Apodaca,2000,Inversión,121975550,283497,430.2534066
Apodaca,2000,Deuda,7638177,283497,26.94270839
Apodaca,2000,Otros,10912100,283497,38.49105987
Cadereyta,2000,Gasto corriente,48388214,75059,644.669047
Cadereyta,2000,Inversión,26707841,75059,355.8246313
Cadereyta,2000,Deuda,3974251,75059,52.94836062
Cadereyta,2000,Otros,4895898,75059,65.22732784
El Carmen,2000,Gasto corriente,8367381,6644,1259.389073
El Carmen,2000,Inversión,5275749,6644,794.0621613
El Carmen,2000,Deuda,0,6644,0
El Carmen,2000,Otros,645080,6644,97.09211318
Ciénaga de Flores,2000,Gasto corriente,11567633,11204,1032.455641
Ciénaga de Flores,2000,Inversión,9342969,11204,833.8958408
Ciénaga de Flores,2000,Deuda,0,11204,0
Ciénaga de Flores,2000,Otros,1294904,11204,115.5751517
García,2000,Gasto corriente,21910134,28974,756.1998343
García,2000,Inversión,12197323,28974,420.9747705
García,2000,Deuda,887373,28974,30.62652723
García,2000,Otros,2031462,28974,70.11327397
General Escobedo,2000,Gasto corriente,121655696,233457,521.1053684
General Escobedo,2000,Inversión,70329602,233457,301.252916
General Escobedo,2000,Deuda,8054421,233457,34.50066179
General Escobedo,2000,Otros,17653290,233457,75.6168802
General Zuazua,2000,Gasto corriente,9513359,6033,1576.886955
General Zuazua,2000,Inversión,3594728,6033,595.8441903
General Zuazua,2000,Deuda,182421,6033,30.23719543
General Zuazua,2000,Otros,1265032,6033,209.685397
Juárez,2000,Gasto corriente,23853197,66497,358.7108742
Juárez,2000,Inversión,10061011,66497,151.3002241
Juárez,2000,Deuda,0,66497,0
Juárez,2000,Otros,22456945,66497,337.7136563
Pesquería,2000,Gasto corriente,12172082,11321,1075.177281
Pesquería,2000,Inversión,2778237,11321,245.4056179
Pesquería,2000,Deuda,198882,11321,17.56752937
Pesquería,2000,Otros,1725393,11321,152.4064129
Salinas Victoria,2000,Gasto corriente,8785101,19024,461.7904226
Salinas Victoria,2000,Inversión,11923748,19024,626.7739697
Salinas Victoria,2000,Deuda,0,19024,0
Salinas Victoria,2000,Otros,2748559,19024,144.4785008
Santa Catarina,2000,Gasto corriente,147078042,227026,647.8466872
