Municipio,Year,Ingresos,Monto_ingresos,Pob,prop_ingr
Abasolo,1990,Ingresos propios,14587,1373,10.62418063
Abasolo,1990,Ingresos provenientes de transferencias federales,464827,1373,338.5484341
Abasolo,1990,Ingresos de deuda,12000,1373,8.739985433
Apodaca,1990,Ingresos propios,6028705,115913,52.01060278
Apodaca,1990,Ingresos provenientes de transferencias federales,10350945,115913,89.29925893
Apodaca,1990,Ingresos de deuda,665000,115913,5.737061417
Cadereyta,1990,Ingresos propios,1359973,53582,25.38115412
Cadereyta,1990,Ingresos provenientes de transferencias federales,3172825,53582,59.2143817
Cadereyta,1990,Ingresos de deuda,73096,53582,1.364189467
El Carmen,1990,Ingresos propios,75445,4906,15.37810844
El Carmen,1990,Ingresos provenientes de transferencias federales,1077530,4906,219.6351406
El Carmen,1990,Ingresos de deuda,0,4906,0
Ciénaga de Flores,1990,Ingresos propios,234302,6708,34.9287418
Ciénaga de Flores,1990,Ingresos provenientes de transferencias federales,1499673,6708,223.5648479
Ciénaga de Flores,1990,Ingresos de deuda,0,6708,0
García,1990,Ingresos propios,813352,13164,61.78608326
García,1990,Ingresos provenientes de transferencias federales,3325731,13164,252.6383318
García,1990,Ingresos de deuda,230736,13164,17.5278031
General Escobedo,1990,Ingresos propios,1740658,98147,17.73521351
General Escobedo,1990,Ingresos provenientes de transferencias federales,4756478,98147,48.4627956
General Escobedo,1990,Ingresos de deuda,184790,98147,1.882788063
General Zuazua,1990,Ingresos propios,121351,4647,26.11383688
General Zuazua,1990,Ingresos provenientes de transferencias federales,1264776,4647,272.1704325
General Zuazua,1990,Ingresos de deuda,0,4647,0
Juárez,1990,Ingresos propios,906216,28014,32.3486828
Juárez,1990,Ingresos provenientes de transferencias federales,1623656,28014,57.95873492
Juárez,1990,Ingresos de deuda,0,28014,0
Pesquería,1990,Ingresos propios,353217,8188,43.13837323
Pesquería,1990,Ingresos provenientes de transferencias federales,1459639,8188,178.2656326
Pesquería,1990,Ingresos de deuda,59850,8188,7.309477284
Salinas Victoria,1990,Ingresos propios,291851,9518,30.66305947
Salinas Victoria,1990,Ingresos provenientes de transferencias federales,1621906,9518,170.4040765
Salinas Victoria,1990,Ingresos de deuda,0,9518,0
Santa Catarina,1990,Ingresos propios,6177533,163848,37.70282823
Santa Catarina,1990,Ingresos provenientes de transferencias federales,10624132,163848,64.84138958
Santa Catarina,1990,Ingresos de deuda,0,163848,0
Santiago,1990,Ingresos propios,3514253,30182,116.435392
Santiago,1990,Ingresos provenientes de transferencias federales,2745038,30182,90.94950633
Santiago,1990,Ingresos de deuda,862996,30182,28.59306872
Abasolo,2000,Ingresos propios,391447,2514,155.7068417
Abasolo,2000,Ingresos provenientes de transferencias federales,6420261,2514,2553.803103
Abasolo,2000,Ingresos de deuda,0,2514,0
