Municipio,Year,Ingresos,Monto_ingresos,Egresos,Monto_egresos,hist
Abasolo,1990,Ingresos propios,14587,Gasto corriente,389925,b
Abasolo,1990,Ingresos provenientes de transferencias federales,464827,Inversión,61029,b
Abasolo,1990,Ingresos de deuda,12000,Deuda,21442,b
Abasolo,1990,,,Otros,19018,b
Apodaca,1990,Ingresos propios,6028705,Gasto corriente,5704863,b
Apodaca,1990,Ingresos provenientes de transferencias federales,10350945,Inversión,9145609,b
Apodaca,1990,Ingresos de deuda,665000,Deuda,189252,b
Apodaca,1990,,,Otros,2004926,b
Cadereyta,1990,Ingresos propios,1359973,Gasto corriente,3293069,b
Cadereyta,1990,Ingresos provenientes de transferencias federales,3172825,Inversión,725035,b
Cadereyta,1990,Ingresos de deuda,73096,Deuda,201475,b
Cadereyta,1990,,,Otros,386315,b
El Carmen,1990,Ingresos propios,75445,Gasto corriente,791404,b
El Carmen,1990,Ingresos provenientes de transferencias federales,1077530,Inversión,181857,b
El Carmen,1990,Ingresos de deuda,0,Deuda,4259,b
El Carmen,1990,,,Otros,175455,b
Ciénaga de Flores,1990,Ingresos propios,234302,Gasto corriente,1267093,b
Ciénaga de Flores,1990,Ingresos provenientes de transferencias federales,1499673,Inversión,302004,b
Ciénaga de Flores,1990,Ingresos de deuda,0,Deuda,558,b
Ciénaga de Flores,1990,,,Otros,164320,b
García,1990,Ingresos propios,813352,Gasto corriente,2471460,b
García,1990,Ingresos provenientes de transferencias federales,3325731,Inversión,1418898,b
García,1990,Ingresos de deuda,230736,Deuda,249481,b
García,1990,,,Otros,229980,b
San Pedro,1990,Ingresos propios,41444176,Gasto corriente,35088204,a
San Pedro,1990,Ingresos provenientes de transferencias federales,29069409,Inversión,22028916,a
San Pedro,1990,Ingresos de deuda,0,Deuda,1500000,a
San Pedro,1990,,,Otros,11896465,a
General Escobedo,1990,Ingresos propios,1740658,Gasto corriente,3626487,b
General Escobedo,1990,Ingresos provenientes de transferencias federales,4756478,Inversión,1740300,b
General Escobedo,1990,Ingresos de deuda,184790,Deuda,968431,b
General Escobedo,1990,,,Otros,346708,b
General Zuazua,1990,Ingresos propios,121351,Gasto corriente,637501,b
General Zuazua,1990,Ingresos provenientes de transferencias federales,1264776,Inversión,657007,b
General Zuazua,1990,Ingresos de deuda,0,Deuda,110,b
General Zuazua,1990,,,Otros,91509,b
