,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
0,Abasolo,1990,Ingresos propios,14587,2.97%,Gasto corriente,389925,79.35%,Ingresos,491414
1,Abasolo,1990,Ingresos provenientes de transferencias federales,464827,94.59%,Inversión,61029,12.42%,Egresos,491414
2,Abasolo,1990,Ingresos de deuda,12000,2.44%,Deuda,21442,4.36%,,
3,Abasolo,1990,,,,Otros,19018,3.87%,,
8,Cadereyta,1990,Ingresos propios,1359973,29.53%,Gasto corriente,3293069,71.50%,Ingresos,4605894
9,Cadereyta,1990,Ingresos provenientes de transferencias federales,3172825,68.89%,Inversión,725035,15.74%,Egresos,4605894
10,Cadereyta,1990,Ingresos de deuda,73096,1.59%,Deuda,201475,4.37%,,
11,Cadereyta,1990,,,,Otros,386315,8.39%,,
12,El Carmen,1990,Ingresos propios,75445,6.54%,Gasto corriente,791404,68.64%,Ingresos,1152975
13,El Carmen,1990,Ingresos provenientes de transferencias federales,1077530,93.46%,Inversión,181857,15.77%,Egresos,1152975
14,El Carmen,1990,Ingresos de deuda,0,0.00%,Deuda,4259,0.37%,,
15,El Carmen,1990,,,,Otros,175455,15.22%,,
16,Ciénaga de Flores,1990,Ingresos propios,234302,13.51%,Gasto corriente,1267093,73.07%,Ingresos,1733975
17,Ciénaga de Flores,1990,Ingresos provenientes de transferencias federales,1499673,86.49%,Inversión,302004,17.42%,Egresos,1733975
18,Ciénaga de Flores,1990,Ingresos de deuda,0,0.00%,Deuda,558,0.03%,,
19,Ciénaga de Flores,1990,,,,Otros,164320,9.48%,,
20,García,1990,Ingresos propios,813352,18.61%,Gasto corriente,2471460,56.56%,Ingresos,4369819
21,García,1990,Ingresos provenientes de transferencias federales,3325731,76.11%,Inversión,1418898,32.47%,Egresos,4369819
22,García,1990,Ingresos de deuda,230736,5.28%,Deuda,249481,5.71%,,
23,García,1990,,,,Otros,229980,5.26%,,
28,General Escobedo,1990,Ingresos propios,1740658,26.05%,Gasto corriente,3626487,54.27%,Ingresos,6681926
29,General Escobedo,1990,Ingresos provenientes de transferencias federales,4756478,71.18%,Inversión,1740300,26.04%,Egresos,6681926
30,General Escobedo,1990,Ingresos de deuda,184790,2.77%,Deuda,968431,14.49%,,
31,General Escobedo,1990,,,,Otros,346708,5.19%,,
32,General Zuazua,1990,Ingresos propios,121351,8.75%,Gasto corriente,637501,45.99%,Ingresos,1386127
