,Municipio,Año,Inv,Pob,prop_inv,perc_inv,trans_fed,prop_trans,perc_trans,ingresos_propios,prop_ingresos
0,Abasolo,1990,61029.0,1373.0,44.44938092,0.07283321200000001,464827.0,338.5484341,0.000728332,14587.0,10.62418063
1,Abasolo,2000,598380.0,2514.0,238.0190931,0.039777247,6420261.0,2553.803103,0.000397772,391447.0,155.70684169999998
2,Abasolo,2010,5798896.0,2791.0,2077.712648,0.035829452000000005,15020790.0,5381.866714,0.000358295,1529042.0,547.8473665
3,Abasolo,2015,18342768.0,2639.0,6950.651004,0.037893141,36472139.0,13820.439180000001,0.000378931,3430263.0,1299.834407
4,Abasolo,2018,,2910.0,,,,,,,
5,Apodaca,1990,9145609.0,115913.0,78.90063237,0.000862716,10350945.0,89.29925893,8.62716E-06,6028705.0,52.01060278
6,Apodaca,2000,121975550.0,283497.0,430.25340660000006,0.000352737,139558198.0,492.2739853,3.52737E-06,122425276.0,431.8397584
7,Apodaca,2010,546745654.0,523370.0,1044.663725,0.000191069,528083341.0,1009.0057529999999,1.91069E-06,295859710.0,565.2974187000001
8,Apodaca,2015,527446901.0,597207.0,883.1894151,0.000167446,1000070473.0,1674.5792880000001,1.67446E-06,173697334.0,290.8494609
9,Apodaca,2018,605639062.0,641618.0,943.9246747999999,0.000155856,1115940421.0,1739.2598420000002,1.55856E-06,871012876.0,1357.525624
10,Cadereyta,1990,725035.0,53582.0,13.53131649,0.001866298,3172825.0,59.214381700000004,1.8663E-05,1359973.0,25.38115412
11,Cadereyta,2000,26707841.0,75059.0,355.8246313,0.001332285,53928485.0,718.4812614,1.33229E-05,30037719.0,400.1881053999999
12,Cadereyta,2010,51361621.0,86445.0,594.1537509,0.001156805,183401904.0,2121.602221,1.1568E-05,45520779.0,526.5866041999999
13,Cadereyta,2015,22465500.0,95534.0,235.1571168,0.0010467480000000001,262996783.0,2752.912921,1.04675E-05,89163358.0,933.3154479
14,Cadereyta,2018,74951638.0,102293.0,732.71522,0.0009775839999999999,301172226.0,2944.211491,9.77584E-06,95897463.0,937.4782536
15,Ciénaga de Flores,1990,302004.0,6708.0,45.02146691,0.014907573,1499673.0,223.56484790000002,0.000149076,234302.0,34.9287418
16,Ciénaga de Flores,2000,9342969.0,11204.0,833.8958408,0.008925384,12598407.0,1124.456176,8.92538E-05,9607099.0,857.470457
