Municipio,Year,Pob,prop_inv,prop_ingresos,hist
Abasolo,1990,1373,44.44938092,10.62418063,b
Abasolo,2000,2514,238.0190931,155.7068417,b
Abasolo,2010,2791,2077.712648,547.8473665,b
Abasolo,2015,2639,6950.651004,1299.834407,b
Abasolo,2018,2910,,,b
Apodaca,1990,115913,78.90063237,52.01060278,b
Apodaca,2000,283497,430.2534066,431.8397584,b
Apodaca,2010,523370,1044.663725,565.2974187,b
Apodaca,2015,597207,883.1894151,290.8494609,b
Apodaca,2018,641618,943.9246748,1357.525624,b
Cadereyta,1990,53582,13.53131649,25.38115412,b
Cadereyta,2000,75059,355.8246313,400.1881054,b
Cadereyta,2010,86445,594.1537509,526.5866042,b
Cadereyta,2015,95534,235.1571168,933.3154479,b
Cadereyta,2018,102293,732.71522,937.4782536,b
Ciénaga de Flores,1990,6708,45.02146691,34.9287418,b
Ciénaga de Flores,2000,11204,833.8958408,857.470457,b
Ciénaga de Flores,2010,24526,795.9263231,1414.645274,b
Ciénaga de Flores,2015,42715,893.6947442,1648.975067,b
Ciénaga de Flores,2018,47492,,,b
El Carmen,1990,4906,37.06828373,15.37810844,b
El Carmen,2000,6644,794.0621613,447.9254967,b
El Carmen,2010,16092,756.0757519,872.3255034,b
El Carmen,2015,38306,343.201274,835.9931342,b
El Carmen,2018,44112,,,b
García,1990,13164,107.7862352,61.78608326,b
García,2000,28974,420.9747705,322.6240422,b
García,2010,143668,502.6733302,856.9053303,b
García,2015,247370,518.814351,939.7426567,b
García,2018,280063,,,b
General Escobedo,1990,98147,17.73156592,17.73521351,b
General Escobedo,2000,233457,301.252916,355.7680429,b
General Escobedo,2010,357937,950.1662471,559.7217667,b
General Escobedo,2015,425148,574.7903695,1153.361735,b
General Escobedo,2018,451138,462.118057,770.7654465,b
General Zuazua,1990,4647,141.3830428,26.11383688,b
General Zuazua,2000,6033,595.8441903,470.6761147,b
General Zuazua,2010,55213,199.8861862,223.4708311,b
General Zuazua,2015,67294,473.9985437,257.8147235,b
General Zuazua,2018,85722,,,b
Guadalupe,1990,535560,20.71870565,49.23340429,a
Guadalupe,2000,670162,241.4772712,346.8764552,a
Guadalupe,2010,678006,469.0696719,481.6997637,a
Guadalupe,2015,682880,578.222616,686.6052674,a
Guadalupe,2018,702812,931.9168327,929.481769,a
Juárez,1990,28014,22.6152281,32.3486828,b
Juárez,2000,66497,151.3002241,333.7709521,b
Juárez,2010,256970,488.7981165,442.1148072,b
Juárez,2015,333481,314.6562863,815.6702031,b
Juárez,2018,373725,327.9157,437.1304863,b
Monterrey,1990,1069238,48.23094016,59.25250225,a
Monterrey,2000,1110997,458.6979083,698.8344703,a
Monterrey,2010,1135550,849.4769918,1123.098298,a
Monterrey,2015,1109171,1102.284517,1693.750892,a
Monterrey,2018,1106817,1587.835132,2607.83479,a
Pesquería,1990,8188,68.94675134,43.13837323,b
Pesquería,2000,11321,245.4056179,575.8190089,b
Pesquería,2010,20843,1314.070431,2305.792256,b
Pesquería,2015,87168,357.5868438,850.6106828,b
Pesquería,2018,104642,1171.541207,1728.881807,b
Salinas Victoria,1990,9518,67.19352805,30.66305947,b
Salinas Victoria,2000,19024,626.7739697,329.7678722,b
Salinas Victoria,2010,32660,1202.724862,996.4654011,b
Salinas Victoria,2015,54192,1721.678882,1726.373136,b
Salinas Victoria,2018,58746,,,b
San Nicolás,1990,436603,24.87285016,51.19982455,a
San Nicolás,2000,496878,146.9716912,373.9106984,a
San Nicolás,2010,443273,955.614531,778.9576175,a
San Nicolás,2015,430143,765.1571687,1055.860112,a
San Nicolás,2018,473337,1057.830444,1347.552955,a
San Pedro,1990,113040,194.8771762,366.6328379,a
San Pedro,2000,125978,760.7878122,2935.870827,a
San Pedro,2010,122659,1232.045508,4524.398446,a
San Pedro,2015,123156,3062.809591,10699.76251,a
San Pedro,2018,135509,6407.057671,11684.51136,a
Santa Catarina,1990,163848,18.30705898,37.70282823,b
Santa Catarina,2000,227026,291.1067763,385.2801794,b
Santa Catarina,2010,268955,381.6303954,616.3624733,b
Santa Catarina,2015,296954,1263.44449,881.8221071,b
Santa Catarina,2018,315057,,,b
Santiago,1990,30182,89.31310052,116.435392,b
Santiago,2000,36812,360.598908,703.6002391,b
Santiago,2010,40469,802.9936,1729.188243,b
Santiago,2015,42407,1156.978801,2378.215861,b
Santiago,2018,45931,3550.084235,4174.446997,b
